date,precip,tmax,tmin,tmean,trange,srad,vpd
2000-02-13,0,21.53,7.56,14.545,13.970000000000002,306.08,376.43
2000-02-14,0,24.1,6.48,15.290000000000001,17.62,360.93,347.73
2000-02-15,0,26.57,5.73,16.15,20.84,396.18,329.11
2000-02-16,0,23.96,7.32,15.64,16.64,354.27,369.77
2000-02-17,0,20.59,9.78,15.184999999999999,10.81,260.43,442.08
2000-02-18,0,20.65,3.09,11.87,17.56,376.54,270.02
2000-02-19,0,24.21,4.73,14.47,19.48,399.16,305.33
2000-02-20,0,27.97,9.09,18.53,18.88,390.72,420.46
2000-02-21,0,24.66,10.83,17.745,13.83,322.65,476.4
2000-02-22,0,20.76,8.27,14.515,12.490000000000002,305.14,396.2
2000-02-23,0,22.21,5.56,13.885,16.650000000000002,376.91,324.92
2000-02-24,0,20.09,8.98,14.535,11.11,284.05,417.37
2000-02-25,0,18.52,3.36,10.94,15.16,363.31,275.53
2000-02-26,0,22.03,2.83,12.43,19.200000000000003,418.6,264.64
2000-02-27,0,28.27,4.44,16.355,23.83,456.74,298.75
2000-02-28,0,24.31,9.52,16.915,14.79,359.14,433.8
2000-02-29,0,24.49,5.68,15.084999999999999,18.81,419.78,327.66
2000-03-01,0,22.66,8.7,15.68,13.96,349.64,408.78
2000-03-02,0,23.73,4.44,14.085,19.29,431.07,298.88
2000-03-03,0,28.05,5.31,16.68,22.740000000000002,462.61,318.87
2000-03-04,0,27.39,7.46,17.425,19.93,439.61,373.58
2000-03-05,15.32,19.53,8.11,13.82,11.420000000000002,232.34,391.66
2000-03-06,37.8,13.58,6.42,10,7.16,155.74,580.59
2000-03-07,11.34,15.84,5.07,10.455,10.77,224.46,769.77
2000-03-08,0,19.43,4.81,12.12,14.620000000000001,386.28,597.58
2000-03-09,0,20.29,6.93,13.61,13.36,365.97,707.46
2000-03-10,0,22.25,5.73,13.99,16.52,425.83,568.82
2000-03-11,0,26.27,6.66,16.465,19.61,465.01,532.35
2000-03-12,0,27.58,7.07,17.325,20.509999999999998,473.77,527.07
2000-03-13,0,28.53,10.25,19.39,18.28,446.85,680.52
2000-03-14,0,29.68,9.64,19.66,20.04,468.43,614.05
2000-03-15,0,29.8,10.25,20.025,19.55,463.97,642.88
2000-03-16,0,28.59,11.74,20.165,16.85,430.51,770.48
2000-03-17,0,28.71,10.53,19.62,18.18,452.83,675.17
2000-03-18,0,28.08,9.98,19.03,18.099999999999998,452.62,653.82
2000-03-19,0,29.16,9.7,19.43,19.46,471.69,606.16
2000-03-20,0,24.95,11.21,18.08,13.739999999999998,382.56,845.55
2000-03-21,0,18.59,4.9,11.745000000000001,13.69,394.88,580.79
2000-03-22,0,22.22,5.64,13.93,16.58,447.76,525.07
2000-03-23,0,25.2,7.5,16.35,17.7,462.79,553.29
2000-03-24,0,27.94,7.94,17.94,20,492.34,514.48
2000-03-25,0,28.88,8.93,18.905,19.95,489.71,544.48
2000-03-26,0,29.4,9.38,19.39,20.019999999999996,490.25,554.86
2000-03-27,0,29.08,9.1,19.09,19.979999999999997,492.15,542.93
2000-03-28,0,25.65,12.94,19.294999999999998,12.709999999999999,367.11,952.89
2000-03-29,0,26.85,9.22,18.035,17.630000000000003,467.99,590.26
2000-03-30,0,26.82,10.47,18.645,16.35,448.48,667.75
